text	language,clean_text,text_length
hii music ni nzuri	swahili,hii music ni nzuri swahili,26
niko naenda kibanda	swahili,niko naenda kibanda swahili,27
ninaenda office sasa	swahili,ninaenda office sasa swahili,28
hii kitu ni nzuri	swahili,hii kitu ni nzuri swahili,25
ninaenda kibanda sasa	swahili,ninaenda kibanda sasa swahili,29
tutaenda office kesho	swahili,tutaenda office kesho swahili,29
tunakutana field jioni	swahili,tunakutana field jioni swahili,30
niko kibanda leo	swahili,niko kibanda leo swahili,24
hii movie ni nzuri	swahili,hii movie ni nzuri swahili,26
tutakutana center leo	swahili,tutakutana center leo swahili,29
hii food ni nzuri	swahili,hii food ni nzuri swahili,25
tutakutana market leo	swahili,tutakutana market leo swahili,29
niko base leo	swahili,niko base leo swahili,21
niko naenda soko	swahili,niko naenda soko swahili,24
hii party ni nzuri	swahili,hii party ni nzuri swahili,26
hii kazi ni nzuri	swahili,hii kazi ni nzuri swahili,25
hii party ni nzuri	swahili,hii party ni nzuri swahili,26
tunakutana base jioni	swahili,tunakutana base jioni swahili,29
tutakutana center leo	swahili,tutakutana center leo swahili,29
hii party ni nzuri	swahili,hii party ni nzuri swahili,26
ninapenda chakula sana	swahili,ninapenda chakula sana swahili,30
hii kazi ni nzuri	swahili,hii kazi ni nzuri swahili,25
tutakutana school leo	swahili,tutakutana school leo swahili,29
ninapenda kitu sana	swahili,ninapenda kitu sana swahili,27
niko kazini school	swahili,niko kazini school swahili,26
ninaenda field sasa	swahili,ninaenda field sasa swahili,27
tafadhali leta game	swahili,tafadhali leta game swahili,27
ninapenda party sana	swahili,ninapenda party sana swahili,28
tafadhali leta story	swahili,tafadhali leta story swahili,28
niko naenda job	swahili,niko naenda job swahili,23
hii idea ni nzuri	swahili,hii idea ni nzuri swahili,25
tunakutana center jioni	swahili,tunakutana center jioni swahili,31
hii story ni nzuri	swahili,hii story ni nzuri swahili,26
ninapenda game sana	swahili,ninapenda game sana swahili,27
niko kazini town	swahili,niko kazini town swahili,24
tafadhali leta movie	swahili,tafadhali leta movie swahili,28
niko kazini center	swahili,niko kazini center swahili,26
tunakutana soko jioni	swahili,tunakutana soko jioni swahili,29
tunakutana market jioni	swahili,tunakutana market jioni swahili,31
niko job leo	swahili,niko job leo swahili,20
tunakutana center jioni	swahili,tunakutana center jioni swahili,31
tunakutana kibanda jioni	swahili,tunakutana kibanda jioni swahili,32
tafadhali leta movie	swahili,tafadhali leta movie swahili,28
tutakutana job leo	swahili,tutakutana job leo swahili,26
niko naenda kibanda	swahili,niko naenda kibanda swahili,27
ninaenda market sasa	swahili,ninaenda market sasa swahili,28
tutakutana school leo	swahili,tutakutana school leo swahili,29
tafadhali leta music	swahili,tafadhali leta music swahili,28
tafadhali leta game	swahili,tafadhali leta game swahili,27
tunakutana job jioni	swahili,tunakutana job jioni swahili,28
tutaenda office kesho	swahili,tutaenda office kesho swahili,29
niko naenda base	swahili,niko naenda base swahili,24
hii chakula ni nzuri	swahili,hii chakula ni nzuri swahili,28
hii food ni nzuri	swahili,hii food ni nzuri swahili,25
niko kazini office	swahili,niko kazini office swahili,26
tunakutana field jioni	swahili,tunakutana field jioni swahili,30
tunakutana office jioni	swahili,tunakutana office jioni swahili,31
hii game ni nzuri	swahili,hii game ni nzuri swahili,25
tafadhali leta kazi	swahili,tafadhali leta kazi swahili,27
tafadhali leta story	swahili,tafadhali leta story swahili,28
niko kazini base	swahili,niko kazini base swahili,24
tutakutana school leo	swahili,tutakutana school leo swahili,29
tutaenda school kesho	swahili,tutaenda school kesho swahili,29
ninapenda idea sana	swahili,ninapenda idea sana swahili,27
ninaenda office sasa	swahili,ninaenda office sasa swahili,28
tafadhali leta idea	swahili,tafadhali leta idea swahili,27
tutakutana base leo	swahili,tutakutana base leo swahili,27
niko kazini soko	swahili,niko kazini soko swahili,24
ninapenda chakula sana	swahili,ninapenda chakula sana swahili,30
ninapenda party sana	swahili,ninapenda party sana swahili,28
ninapenda story sana	swahili,ninapenda story sana swahili,28
niko kazini center	swahili,niko kazini center swahili,26
niko school leo	swahili,niko school leo swahili,23
niko kazini office	swahili,niko kazini office swahili,26
ninapenda game sana	swahili,ninapenda game sana swahili,27
ninapenda food sana	swahili,ninapenda food sana swahili,27
niko kazini center	swahili,niko kazini center swahili,26
ninaenda center sasa	swahili,ninaenda center sasa swahili,28
ninaenda job sasa	swahili,ninaenda job sasa swahili,25
tafadhali leta music	swahili,tafadhali leta music swahili,28
tutaenda base kesho	swahili,tutaenda base kesho swahili,27
tutakutana base leo	swahili,tutakutana base leo swahili,27
ninapenda kitu sana	swahili,ninapenda kitu sana swahili,27
niko kazini field	swahili,niko kazini field swahili,25
ninapenda movie sana	swahili,ninapenda movie sana swahili,28
niko base leo	swahili,niko base leo swahili,21
niko kazini town	swahili,niko kazini town swahili,24
hii kitu ni nzuri	swahili,hii kitu ni nzuri swahili,25
tutaenda soko kesho	swahili,tutaenda soko kesho swahili,27
tafadhali leta game	swahili,tafadhali leta game swahili,27
ninaenda soko sasa	swahili,ninaenda soko sasa swahili,26
niko job leo	swahili,niko job leo swahili,20
niko naenda school	swahili,niko naenda school swahili,26
tutakutana base leo	swahili,tutakutana base leo swahili,27
niko soko leo	swahili,niko soko leo swahili,21
ninaenda market sasa	swahili,ninaenda market sasa swahili,28
tafadhali leta food	swahili,tafadhali leta food swahili,27
hii music ni nzuri	swahili,hii music ni nzuri swahili,26
ninaenda market sasa	swahili,ninaenda market sasa swahili,28
niko naenda center	swahili,niko naenda center swahili,26
tafadhali leta idea	swahili,tafadhali leta idea swahili,27
niko kazini base	swahili,niko kazini base swahili,24
tutakutana soko leo	swahili,tutakutana soko leo swahili,27
niko kazini kibanda	swahili,niko kazini kibanda swahili,27
ninaenda center sasa	swahili,ninaenda center sasa swahili,28
ninaenda office sasa	swahili,ninaenda office sasa swahili,28
tafadhali leta movie	swahili,tafadhali leta movie swahili,28
tunakutana center jioni	swahili,tunakutana center jioni swahili,31
tutakutana kibanda leo	swahili,tutakutana kibanda leo swahili,30
tutakutana center leo	swahili,tutakutana center leo swahili,29
tutakutana field leo	swahili,tutakutana field leo swahili,28
ninaenda base sasa	swahili,ninaenda base sasa swahili,26
ninaenda center sasa	swahili,ninaenda center sasa swahili,28
ninaenda kibanda sasa	swahili,ninaenda kibanda sasa swahili,29
ninapenda story sana	swahili,ninapenda story sana swahili,28
hii idea ni nzuri	swahili,hii idea ni nzuri swahili,25
hii movie ni nzuri	swahili,hii movie ni nzuri swahili,26
ninapenda movie sana	swahili,ninapenda movie sana swahili,28
ninaenda soko sasa	swahili,ninaenda soko sasa swahili,26
tafadhali leta game	swahili,tafadhali leta game swahili,27
tutaenda base kesho	swahili,tutaenda base kesho swahili,27
ninaenda office sasa	swahili,ninaenda office sasa swahili,28
tutaenda field kesho	swahili,tutaenda field kesho swahili,28
tafadhali leta kitu	swahili,tafadhali leta kitu swahili,27
niko kazini town	swahili,niko kazini town swahili,24
tutakutana job leo	swahili,tutakutana job leo swahili,26
tutakutana job leo	swahili,tutakutana job leo swahili,26
niko kazini job	swahili,niko kazini job swahili,23
niko naenda base	swahili,niko naenda base swahili,24
ninaenda field sasa	swahili,ninaenda field sasa swahili,27
hii idea ni nzuri	swahili,hii idea ni nzuri swahili,25
tutakutana office leo	swahili,tutakutana office leo swahili,29
tunakutana kibanda jioni	swahili,tunakutana kibanda jioni swahili,32
niko naenda job	swahili,niko naenda job swahili,23
tutaenda base kesho	swahili,tutaenda base kesho swahili,27
hii food ni nzuri	swahili,hii food ni nzuri swahili,25
ninaenda town sasa	swahili,ninaenda town sasa swahili,26
hii story ni nzuri	swahili,hii story ni nzuri swahili,26
tafadhali leta story	swahili,tafadhali leta story swahili,28
niko naenda kibanda	swahili,niko naenda kibanda swahili,27
niko naenda soko	swahili,niko naenda soko swahili,24
ninapenda kazi sana	swahili,ninapenda kazi sana swahili,27
tafadhali leta party	swahili,tafadhali leta party swahili,28
tunakutana market jioni	swahili,tunakutana market jioni swahili,31
tutakutana kibanda leo	swahili,tutakutana kibanda leo swahili,30
niko naenda school	swahili,niko naenda school swahili,26
niko kazini center	swahili,niko kazini center swahili,26
ninapenda kitu sana	swahili,ninapenda kitu sana swahili,27
ninaenda town sasa	swahili,ninaenda town sasa swahili,26
niko field leo	swahili,niko field leo swahili,22
tunakutana base jioni	swahili,tunakutana base jioni swahili,29
tafadhali leta music	swahili,tafadhali leta music swahili,28
ninaenda job sasa	swahili,ninaenda job sasa swahili,25
tafadhali leta movie	swahili,tafadhali leta movie swahili,28
tafadhali leta idea	swahili,tafadhali leta idea swahili,27
niko naenda soko	swahili,niko naenda soko swahili,24
tutaenda market kesho	swahili,tutaenda market kesho swahili,29
ninaenda field sasa	swahili,ninaenda field sasa swahili,27
niko soko leo	swahili,niko soko leo swahili,21
ninaenda kibanda sasa	swahili,ninaenda kibanda sasa swahili,29
niko kazini field	swahili,niko kazini field swahili,25
tutaenda office kesho	swahili,tutaenda office kesho swahili,29
hii food ni nzuri	swahili,hii food ni nzuri swahili,25
tutakutana center leo	swahili,tutakutana center leo swahili,29
niko office leo	swahili,niko office leo swahili,23
niko naenda kibanda	swahili,niko naenda kibanda swahili,27
niko kazini town	swahili,niko kazini town swahili,24
niko naenda job	swahili,niko naenda job swahili,23
tafadhali leta food	swahili,tafadhali leta food swahili,27
ninaenda market sasa	swahili,ninaenda market sasa swahili,28
niko job leo	swahili,niko job leo swahili,20
niko naenda field	swahili,niko naenda field swahili,25
niko naenda soko	swahili,niko naenda soko swahili,24
niko kazini field	swahili,niko kazini field swahili,25
niko kazini field	swahili,niko kazini field swahili,25
niko kazini field	swahili,niko kazini field swahili,25
ninapenda music sana	swahili,ninapenda music sana swahili,28
hii music ni nzuri	swahili,hii music ni nzuri swahili,26
hii kazi ni nzuri	swahili,hii kazi ni nzuri swahili,25
ninaenda field sasa	swahili,ninaenda field sasa swahili,27
niko kazini center	swahili,niko kazini center swahili,26
niko kazini center	swahili,niko kazini center swahili,26
tutaenda job kesho	swahili,tutaenda job kesho swahili,26
ninaenda center sasa	swahili,ninaenda center sasa swahili,28
niko office leo	swahili,niko office leo swahili,23
hii food ni nzuri	swahili,hii food ni nzuri swahili,25
tutakutana kibanda leo	swahili,tutakutana kibanda leo swahili,30
tunakutana office jioni	swahili,tunakutana office jioni swahili,31
hii game ni nzuri	swahili,hii game ni nzuri swahili,25
tafadhali leta chakula	swahili,tafadhali leta chakula swahili,30
niko kazini kibanda	swahili,niko kazini kibanda swahili,27
niko naenda market	swahili,niko naenda market swahili,26
niko kazini base	swahili,niko kazini base swahili,24
tutakutana job leo	swahili,tutakutana job leo swahili,26
tunakutana field jioni	swahili,tunakutana field jioni swahili,30
hii chakula ni nzuri	swahili,hii chakula ni nzuri swahili,28
hii food ni nzuri	swahili,hii food ni nzuri swahili,25
tafadhali leta party	swahili,tafadhali leta party swahili,28
ninaenda school sasa	swahili,ninaenda school sasa swahili,28
ninaenda base sasa	swahili,ninaenda base sasa swahili,26
tutaenda field kesho	swahili,tutaenda field kesho swahili,28
niko naenda town	swahili,niko naenda town swahili,24
niko naenda school	swahili,niko naenda school swahili,26
niko naenda office	swahili,niko naenda office swahili,26
ninapenda story sana	swahili,ninapenda story sana swahili,28
hii party ni nzuri	swahili,hii party ni nzuri swahili,26
tunakutana town jioni	swahili,tunakutana town jioni swahili,29
niko office leo	swahili,niko office leo swahili,23
niko kibanda leo	swahili,niko kibanda leo swahili,24
niko kibanda leo	swahili,niko kibanda leo swahili,24
niko naenda job	swahili,niko naenda job swahili,23
niko naenda job	swahili,niko naenda job swahili,23
tunakutana market jioni	swahili,tunakutana market jioni swahili,31
niko office leo	swahili,niko office leo swahili,23
niko kazini soko	swahili,niko kazini soko swahili,24
tutaenda center kesho	swahili,tutaenda center kesho swahili,29
niko naenda kibanda	swahili,niko naenda kibanda swahili,27
tutaenda base kesho	swahili,tutaenda base kesho swahili,27
niko office leo	swahili,niko office leo swahili,23
hii game ni nzuri	swahili,hii game ni nzuri swahili,25
tunakutana school jioni	swahili,tunakutana school jioni swahili,31
tutakutana center leo	swahili,tutakutana center leo swahili,29
niko kazini kibanda	swahili,niko kazini kibanda swahili,27
ninaenda job sasa	swahili,ninaenda job sasa swahili,25
tunakutana school jioni	swahili,tunakutana school jioni swahili,31
tafadhali leta movie	swahili,tafadhali leta movie swahili,28
niko kazini soko	swahili,niko kazini soko swahili,24
ninaenda job sasa	swahili,ninaenda job sasa swahili,25
tunakutana kibanda jioni	swahili,tunakutana kibanda jioni swahili,32
niko kazini kibanda	swahili,niko kazini kibanda swahili,27
tafadhali leta kitu	swahili,tafadhali leta kitu swahili,27
niko school leo	swahili,niko school leo swahili,23
niko kazini center	swahili,niko kazini center swahili,26
hii chakula ni nzuri	swahili,hii chakula ni nzuri swahili,28
niko school leo	swahili,niko school leo swahili,23
tunakutana job jioni	swahili,tunakutana job jioni swahili,28
tunakutana town jioni	swahili,tunakutana town jioni swahili,29
niko school leo	swahili,niko school leo swahili,23
ninaenda kibanda sasa	swahili,ninaenda kibanda sasa swahili,29
niko naenda town	swahili,niko naenda town swahili,24
tutakutana center leo	swahili,tutakutana center leo swahili,29
ninapenda kazi sana	swahili,ninapenda kazi sana swahili,27
tutaenda market kesho	swahili,tutaenda market kesho swahili,29
tutaenda office kesho	swahili,tutaenda office kesho swahili,29
ninapenda party sana	swahili,ninapenda party sana swahili,28
tutakutana job leo	swahili,tutakutana job leo swahili,26
niko kibanda leo	swahili,niko kibanda leo swahili,24
ninapenda idea sana	swahili,ninapenda idea sana swahili,27
tunakutana town jioni	swahili,tunakutana town jioni swahili,29
niko kazini town	swahili,niko kazini town swahili,24
ninapenda idea sana	swahili,ninapenda idea sana swahili,27
ninaenda kibanda sasa	swahili,ninaenda kibanda sasa swahili,29
tutakutana soko leo	swahili,tutakutana soko leo swahili,27
ninapenda food sana	swahili,ninapenda food sana swahili,27
niko kazini market	swahili,niko kazini market swahili,26
tutakutana kibanda leo	swahili,tutakutana kibanda leo swahili,30
ninaenda school sasa	swahili,ninaenda school sasa swahili,28
hii idea ni nzuri	swahili,hii idea ni nzuri swahili,25
tunakutana office jioni	swahili,tunakutana office jioni swahili,31
tutaenda market kesho	swahili,tutaenda market kesho swahili,29
niko kazini kibanda	swahili,niko kazini kibanda swahili,27
ninapenda game sana	swahili,ninapenda game sana swahili,27
niko kazini soko	swahili,niko kazini soko swahili,24
tutakutana base leo	swahili,tutakutana base leo swahili,27
niko kazini kibanda	swahili,niko kazini kibanda swahili,27
hii party ni nzuri	swahili,hii party ni nzuri swahili,26
niko kibanda leo	swahili,niko kibanda leo swahili,24
hii food ni nzuri	swahili,hii food ni nzuri swahili,25
niko naenda office	swahili,niko naenda office swahili,26
tunakutana job jioni	swahili,tunakutana job jioni swahili,28
niko school leo	swahili,niko school leo swahili,23
hii idea ni nzuri	swahili,hii idea ni nzuri swahili,25
ninaenda job sasa	swahili,ninaenda job sasa swahili,25
tutaenda base kesho	swahili,tutaenda base kesho swahili,27
ninapenda kazi sana	swahili,ninapenda kazi sana swahili,27
tafadhali leta music	swahili,tafadhali leta music swahili,28
niko naenda market	swahili,niko naenda market swahili,26
niko job leo	swahili,niko job leo swahili,20
tutaenda school kesho	swahili,tutaenda school kesho swahili,29
tutaenda school kesho	swahili,tutaenda school kesho swahili,29
ninapenda music sana	swahili,ninapenda music sana swahili,28
tutaenda market kesho	swahili,tutaenda market kesho swahili,29
tutakutana school leo	swahili,tutakutana school leo swahili,29
niko kazini center	swahili,niko kazini center swahili,26
tafadhali leta kazi	swahili,tafadhali leta kazi swahili,27
tunakutana office jioni	swahili,tunakutana office jioni swahili,31
niko town leo	swahili,niko town leo swahili,21
tutakutana kibanda leo	swahili,tutakutana kibanda leo swahili,30
tunakutana soko jioni	swahili,tunakutana soko jioni swahili,29
tutakutana soko leo	swahili,tutakutana soko leo swahili,27
hii idea ni nzuri	swahili,hii idea ni nzuri swahili,25
tutakutana office leo	swahili,tutakutana office leo swahili,29
ninaenda market sasa	swahili,ninaenda market sasa swahili,28
tunakutana center jioni	swahili,tunakutana center jioni swahili,31
tutaenda office kesho	swahili,tutaenda office kesho swahili,29
tutakutana job leo	swahili,tutakutana job leo swahili,26
niko naenda market	swahili,niko naenda market swahili,26
niko naenda job	swahili,niko naenda job swahili,23
ninaenda soko sasa	swahili,ninaenda soko sasa swahili,26
tutaenda job kesho	swahili,tutaenda job kesho swahili,26
tafadhali leta story	swahili,tafadhali leta story swahili,28
niko kazini field	swahili,niko kazini field swahili,25
tafadhali leta story	swahili,tafadhali leta story swahili,28
tutaenda base kesho	swahili,tutaenda base kesho swahili,27
tutakutana kibanda leo	swahili,tutakutana kibanda leo swahili,30
hii story ni nzuri	swahili,hii story ni nzuri swahili,26
niko kazini kibanda	swahili,niko kazini kibanda swahili,27
ninaenda office sasa	swahili,ninaenda office sasa swahili,28
niko center leo	swahili,niko center leo swahili,23
niko naenda market	swahili,niko naenda market swahili,26
ninaenda kibanda sasa	swahili,ninaenda kibanda sasa swahili,29
niko center leo	swahili,niko center leo swahili,23
tutakutana field leo	swahili,tutakutana field leo swahili,28
tutakutana office leo	swahili,tutakutana office leo swahili,29
hii kitu ni nzuri	swahili,hii kitu ni nzuri swahili,25
ninapenda movie sana	swahili,ninapenda movie sana swahili,28
niko field leo	swahili,niko field leo swahili,22
ninaenda center sasa	swahili,ninaenda center sasa swahili,28
niko kazini office	swahili,niko kazini office swahili,26
tunakutana school jioni	swahili,tunakutana school jioni swahili,31
tutaenda job kesho	swahili,tutaenda job kesho swahili,26
hii kazi ni nzuri	swahili,hii kazi ni nzuri swahili,25
tunakutana field jioni	swahili,tunakutana field jioni swahili,30
hii party ni nzuri	swahili,hii party ni nzuri swahili,26
tutakutana market leo	swahili,tutakutana market leo swahili,29
ninaenda field sasa	swahili,ninaenda field sasa swahili,27
niko kazini market	swahili,niko kazini market swahili,26
ninaenda center sasa	swahili,ninaenda center sasa swahili,28
niko naenda center	swahili,niko naenda center swahili,26
niko kazini school	swahili,niko kazini school swahili,26
tunakutana office jioni	swahili,tunakutana office jioni swahili,31
ninaenda kibanda sasa	swahili,ninaenda kibanda sasa swahili,29
niko naenda base	swahili,niko naenda base swahili,24
tunakutana job jioni	swahili,tunakutana job jioni swahili,28
niko kazini base	swahili,niko kazini base swahili,24
ninapenda game sana	swahili,ninapenda game sana swahili,27
tutaenda center kesho	swahili,tutaenda center kesho swahili,29
tutakutana school leo	swahili,tutakutana school leo swahili,29
tafadhali leta kazi	swahili,tafadhali leta kazi swahili,27
niko naenda town	swahili,niko naenda town swahili,24
hii food ni nzuri	swahili,hii food ni nzuri swahili,25
niko naenda job	swahili,niko naenda job swahili,23
tutaenda town kesho	swahili,tutaenda town kesho swahili,27
hii idea ni nzuri	swahili,hii idea ni nzuri swahili,25
ninapenda party sana	swahili,ninapenda party sana swahili,28
tunakutana kibanda jioni	swahili,tunakutana kibanda jioni swahili,32
tutakutana center leo	swahili,tutakutana center leo swahili,29
hii idea ni nzuri	swahili,hii idea ni nzuri swahili,25
tafadhali leta movie	swahili,tafadhali leta movie swahili,28
hii music ni nzuri	swahili,hii music ni nzuri swahili,26
hii kitu ni nzuri	swahili,hii kitu ni nzuri swahili,25
tunakutana kibanda jioni	swahili,tunakutana kibanda jioni swahili,32
niko market leo	swahili,niko market leo swahili,23
niko naenda job	swahili,niko naenda job swahili,23
ninaenda office sasa	swahili,ninaenda office sasa swahili,28
niko field leo	swahili,niko field leo swahili,22
niko kazini job	swahili,niko kazini job swahili,23
niko naenda job	swahili,niko naenda job swahili,23
hii chakula ni nzuri	swahili,hii chakula ni nzuri swahili,28
ninapenda chakula sana	swahili,ninapenda chakula sana swahili,30
ninapenda food sana	swahili,ninapenda food sana swahili,27
tunakutana base jioni	swahili,tunakutana base jioni swahili,29
niko naenda school	swahili,niko naenda school swahili,26
niko kibanda leo	swahili,niko kibanda leo swahili,24
tutaenda center kesho	swahili,tutaenda center kesho swahili,29
hii kitu ni nzuri	swahili,hii kitu ni nzuri swahili,25
tafadhali leta game	swahili,tafadhali leta game swahili,27
tunakutana job jioni	swahili,tunakutana job jioni swahili,28
niko base leo	swahili,niko base leo swahili,21
ninaenda job sasa	swahili,ninaenda job sasa swahili,25
ninapenda kazi sana	swahili,ninapenda kazi sana swahili,27
niko school leo	swahili,niko school leo swahili,23
tafadhali leta food	swahili,tafadhali leta food swahili,27
niko naenda office	swahili,niko naenda office swahili,26
tunakutana office jioni	swahili,tunakutana office jioni swahili,31
ninapenda food sana	swahili,ninapenda food sana swahili,27
hii party ni nzuri	swahili,hii party ni nzuri swahili,26
tutaenda field kesho	swahili,tutaenda field kesho swahili,28
tunakutana center jioni	swahili,tunakutana center jioni swahili,31
niko kazini town	swahili,niko kazini town swahili,24
niko base leo	swahili,niko base leo swahili,21
ninapenda game sana	swahili,ninapenda game sana swahili,27
niko office leo	swahili,niko office leo swahili,23
ninaenda office sasa	swahili,ninaenda office sasa swahili,28
niko kazini town	swahili,niko kazini town swahili,24
tunakutana base jioni	swahili,tunakutana base jioni swahili,29
ninaenda soko sasa	swahili,ninaenda soko sasa swahili,26
tutaenda center kesho	swahili,tutaenda center kesho swahili,29
ninaenda kibanda sasa	swahili,ninaenda kibanda sasa swahili,29
niko soko leo	swahili,niko soko leo swahili,21
tutakutana office leo	swahili,tutakutana office leo swahili,29
tutakutana market leo	swahili,tutakutana market leo swahili,29
ninaenda field sasa	swahili,ninaenda field sasa swahili,27
niko kazini town	swahili,niko kazini town swahili,24
niko kazini soko	swahili,niko kazini soko swahili,24
tutaenda office kesho	swahili,tutaenda office kesho swahili,29
tunakutana office jioni	swahili,tunakutana office jioni swahili,31
niko town leo	swahili,niko town leo swahili,21
niko naenda office	swahili,niko naenda office swahili,26
tafadhali leta food	swahili,tafadhali leta food swahili,27
tutaenda town kesho	swahili,tutaenda town kesho swahili,27
tutakutana job leo	swahili,tutakutana job leo swahili,26
tutaenda job kesho	swahili,tutaenda job kesho swahili,26
tunakutana soko jioni	swahili,tunakutana soko jioni swahili,29
ninaenda kibanda sasa	swahili,ninaenda kibanda sasa swahili,29
niko center leo	swahili,niko center leo swahili,23
ninapenda chakula sana	swahili,ninapenda chakula sana swahili,30
niko kazini field	swahili,niko kazini field swahili,25
tutakutana office leo	swahili,tutakutana office leo swahili,29
tutaenda soko kesho	swahili,tutaenda soko kesho swahili,27
niko kazini town	swahili,niko kazini town swahili,24
niko naenda job	swahili,niko naenda job swahili,23
niko field leo	swahili,niko field leo swahili,22
niko kazini market	swahili,niko kazini market swahili,26
tunakutana job jioni	swahili,tunakutana job jioni swahili,28
niko naenda field	swahili,niko naenda field swahili,25
tutakutana kibanda leo	swahili,tutakutana kibanda leo swahili,30
tutakutana field leo	swahili,tutakutana field leo swahili,28
tafadhali leta food	swahili,tafadhali leta food swahili,27
niko naenda town	swahili,niko naenda town swahili,24
tutakutana market leo	swahili,tutakutana market leo swahili,29
niko field leo	swahili,niko field leo swahili,22
tafadhali leta chakula	swahili,tafadhali leta chakula swahili,30
tunakutana job jioni	swahili,tunakutana job jioni swahili,28
ninapenda kazi sana	swahili,ninapenda kazi sana swahili,27
tafadhali leta kazi	swahili,tafadhali leta kazi swahili,27
tunakutana job jioni	swahili,tunakutana job jioni swahili,28
ninapenda story sana	swahili,ninapenda story sana swahili,28
tafadhali leta party	swahili,tafadhali leta party swahili,28
niko kazini school	swahili,niko kazini school swahili,26
tafadhali leta kitu	swahili,tafadhali leta kitu swahili,27
ninaenda job sasa	swahili,ninaenda job sasa swahili,25
tafadhali leta kitu	swahili,tafadhali leta kitu swahili,27
tutakutana kibanda leo	swahili,tutakutana kibanda leo swahili,30
niko kazini field	swahili,niko kazini field swahili,25
tunakutana office jioni	swahili,tunakutana office jioni swahili,31
niko kazini soko	swahili,niko kazini soko swahili,24
niko naenda kibanda	swahili,niko naenda kibanda swahili,27
ninapenda music sana	swahili,ninapenda music sana swahili,28
tunakutana kibanda jioni	swahili,tunakutana kibanda jioni swahili,32
tutakutana job leo	swahili,tutakutana job leo swahili,26
ninaenda job sasa	swahili,ninaenda job sasa swahili,25
niko kazini office	swahili,niko kazini office swahili,26
hii game ni nzuri	swahili,hii game ni nzuri swahili,25
tutakutana job leo	swahili,tutakutana job leo swahili,26
tutaenda field kesho	swahili,tutaenda field kesho swahili,28
tutakutana base leo	swahili,tutakutana base leo swahili,27
hii music ni nzuri	swahili,hii music ni nzuri swahili,26
ninaenda soko sasa	swahili,ninaenda soko sasa swahili,26
niko kazini town	swahili,niko kazini town swahili,24
hii idea ni nzuri	swahili,hii idea ni nzuri swahili,25
niko naenda center	swahili,niko naenda center swahili,26
niko kazini job	swahili,niko kazini job swahili,23
ninaenda kibanda sasa	swahili,ninaenda kibanda sasa swahili,29
tafadhali leta game	swahili,tafadhali leta game swahili,27
tuko base sai	sheng,tuko base sai sheng,19
maze twende job	sheng,maze twende job sheng,21
tuko soko na wasee	sheng,tuko soko na wasee sheng,24
leo kuna kitu kali	sheng,leo kuna kitu kali sheng,24
wacha tuende market	sheng,wacha tuende market sheng,25
tutaenda kibanda baadaye	sheng,tutaenda kibanda baadaye sheng,30
wacha tuende office	sheng,wacha tuende office sheng,25
leo kuna music kali	sheng,leo kuna music kali sheng,25
